device_make	device_model	_col2
TECNO MOBILE LIMITED	TECNO CE7j	1101
LGE	10A30Q	190
Xiaomi	Redmi Note 5	5190
motorola	moto g32	17458
vivo	V2414	5667
OPPO	CPH2687	9025
Xiaomi	24076RP19G	8674
samsung	SM-M336B	3833
samsung	SM-A716U1	1068
HUAWEI	WAS-LX1	674
samsung	SM-S506DL	288
TCL	T775B	162
OnePlus	CPH2581	470
BLU	M7i	18
Teclast	M40Air_KR	9
Google	octopus	939
Symphony	i85	38
realme	RMX5032	183
TECNO MOBILE LIMITED	TECNO CE9h	234
samsung	SM-P585	672
incar	C5_EEA	185
samsung	SAMSUNG-SM-T818A	106
Fortune Ship	IKU A40	32
OPPO	PJS110	90
Chinoe	BV6600E	116
alps	T702	199
Honeywell International Inc	EDA40	133
alps	101S	4
M4 Pro	M4 Pro	13
DOOGEE	N50	478
UMIDIGI	TG2403GBA	19
samsung	SM-J727U	30
Tibuda	SmartPad_T10	13
ZUUM	STELLAR P3	60
HUAWEI	JEF-AN00	2
HMD Global	TA-1041	22
incar	H1	4
OSCAL	FLAT 2C	2
incar	M610-EEA	3
RAVOZ	RAVOZ V5	17
Veidoo	T12	3
DIGMA_PRO	Zenith TA3E1P01	2
MIUI	U2	11
iPhone	iPhone 16 Pro Max	1
ZUUM	MAGNO C2	1
Xiaomi	220333QNY	40156
TCL	T779W	1571
samsung	SM-N975U1	1763
pad6pro	pad6pro	135
HUAWEI	AGS2-L09	2585
OPPO	CPH1969	6918
samsung	SM-M225FV	3297
vivo	vivo 1935	9230
HTC	HTC U11	486
Xiaomi	2312BPC51H	7093
SoyMomo	SoyMomo_Pro_V1	124
incar	J5	34
OPPO	CPH2161	1705
samsung	SM-G973W	2170
OPPO	PGW110	11
FCC	S700	115
samsung	SM-M366B	35
HUAWEI	AGS2-L03	170
samsung	SM-S921N	1081
samsung	SCV40	686
ITAB_X40L	ITAB_X40L	29
OMIX	X400	691
HUAWEI	BAH3-W09	231
motorola	motorola one zoom	538
Acer	P10-11	1190
Sony	XQ-CT62	23
Sony	XQ-ES44	54
TINNO	Neo_6_plus	88
OALE	HOT 40i	122
TCL	T601DL	169
LGE	LM-Q510N	47
LAVA	T81_M	9
SKY Devices	Elite A6	13
ragentek	Surpad	54
mPTech	Hammer Iron V	89
Skyth	A55_US	165
samsung	SM-G611K	12
samsung	SM-J730FM	328
realme	RMX5079	135
Chinoe	BV4900s	31
samsung	SM-S937U1	19
asus	ZE553KL	52
TCL	5024F	140
incar	Tab 13Ultra	4
samsung	SM-G885S	37
SMART PRODUCTS CONNECTION SA	PET 1081-H232S	16
Foryou Digital	muPAD L10	9
SHARP	SH-M32	15
SkyDevices	X55	1
Luckyrood	LK70	9
CUBOT	X20 PRO	8
Sony	XQ-AS72	16
mPTech	Hammer_Explorer_Pro	4
XGODY	V50	3
alps	Pad6S Pro	2
ROG	ASUS_AI2205_A	1
Xiaomi	M2012K11G	2271
motorola	moto g 5G - 2024	24224
Google	Pixel 9	12258
samsung	SM-A525M	11654
samsung	SM-A042M	16623
vivo	V2332	14877
vivo	V2124	2915
BLU	G33	358
Cloud Mobile	Stratus C8	1328
TECNO MOBILE LIMITED	TECNO KF8	2213
samsung	SM-A908N	980
Ulefone	Armor X13	387
Xiaomi	22021119KR	44
INFINIX MOBILITY LIMITED	Infinix X688C	424
Blackview	BV9900E	292
TECNO MOBILE LIMITED	TECNO KG5m	4232
vivo	V1818A	110
X_View	X_View_Q7	51
KENSHI	Armor_C1w	25
Xiaomi	24074PCD2I	210
alps	Pro23	96
HUAWEI	BNE-LX3	19
Acer	V10-21	83
KYOCERA	KYG04	8
Casper	VIA X30	242
HUAWEI	BKY-W00	26
DOOGEE	T10W	456
OSCAL	Pad 7	102
INOI	A170_Plus	112
incar	V-Z40	14
OUKITEL	C37	41
HMD Global	HMD T21	35
Gigaset	E940-2878-03	79
HXY	A25	36
vivo	V1911A	46
Chitech	A40	49
eStar	MID1021W	11
W&O	X16 pro max	26
mipo	mipo_M46_Plus	71
samsung	SM-P550	7
OPPO	CPH1707	41
YQSAVIOR	Q2	14
TCL	5164D	51
vivo	PA2455	33
BLU	G34	20
SenlinTech	S30-Pro	3
Porodo	PD-TFHD11	5
INFINIX MOBILITY LIMITED	Infinix X6815	21
ZUUM	STELLAR P8	2
Innovatech	Net X	25
Xiaomi	21121210C	16
KYOCERA	S6-KC	2
Lenovo	Lenovo L38043	18
Xiaomi	MI 3W	1
ZIOVO	Z168_EEA	1
ITEL	itel P682L	6
TCL	5102B	4
alps	Reno12_Pro_5G	1
vivo	V2238A	1
Hisense	Hisense Infinity H12	1
FOX CELL	F102	1
vivo	V2240	9432
TECNO	TECNO LH7n	20931
samsung	SM-J810Y	500
Xiaomi	M2007J17I	2489
OUKITEL	WP28	250
Xiaomi	25028RN03Y	4263
vivo	V2507	1226
DIGMA	Kids A8 DA5B8P01	96
samsung	SM-X906B	1108
CHUWI	Hi10_XPro_Pad	742
SKY_PAD10Max	SKY PAD10Max	535
samsung	SC-54F	53
VANWIN	S23plus+	68
HMD Global	Nokia G310 5G	533
LAVA	LAVA LXX501	65
motorola	moto g(8)	2223
TCL	T509K	1383
OPPO	PHW110	91
skythtek	SmartPad_A10_L	69
G-Tab	PAD11	421
HUAWEI	KSA-LX9	174
samsung	SM-M022F	109
BraveTechs	BraveT3Lite	43
samsung	SM-A710F	814
SSH Telecom SMC (Pvt.) Ltd	NEW 22	531
